100	-3.45937
102	-5.45741
104	-5.37605
106	-5.43064
108	-5.50416
110	-6.08887
112	-6.02586
114	-6.14553
116	-6.19491
118	-6.32444
120	-6.2059
122	-6.33583
124	-6.52666
126	-6.8499
128	-6.85703
130	-6.79313
132	-7.0421
134	-6.89386
136	-7.06761
138	-7.19933
140	-7.24909
142	-7.52308
144	-7.51991
146	-7.67388
148	-7.48506
150	-7.17826
152	-7.62498
154	-8.08881
156	-8.40736
158	-8.1341
160	-8.39039
162	-8.70126
164	-8.71977
166	-8.87062
168	-8.85056
170	-8.90153
172	-9.20779
174	-9.09563
176	-9.36378
178	-9.43184
180	-9.50352
182	-9.71024
184	-9.62181
186	-9.57977
188	-9.80654
190	-10.0464
192	-10.223
194	-9.69576
196	-10.848
198	-10.418
200	-10.3779
202	-10.5748
204	-10.5776
206	-10.8948
208	-10.8596
210	-11.0267
212	-11.2741
214	-11.2504
216	-11.2374
218	-11.3906
220	-11.4606
222	-11.6333
224	-11.7231
226	-11.792
228	-11.9694
230	-11.9159
232	-12.1418
234	-12.0966
236	-12.3314
238	-12.3963
240	-12.4027
242	-12.7419
244	-12.8033
246	-12.8296
248	-13.0476
250	-12.5633
252	-13.1761
254	-13.3338
256	-13.3804
258	-13.4536
260	-13.5725
262	-13.4346
264	-13.7179
266	-13.8405
268	-13.9264
270	-14.0343
272	-14.0779
274	-14.067
276	-14.4504
278	-14.2303
280	-14.5015
282	-14.5797
284	-14.6502
286	-14.8054
288	-14.8634
290	-14.9672
292	-15.2236
294	-15.2557
296	-15.2493
298	-15.3982
300	-15.5641
302	-15.4726
304	-15.5059
306	-15.6772
308	-15.5652
310	-15.6608
312	-16.1383
314	-16.1282
316	-16.1808
318	-16.3915
320	-16.5105
322	-16.8612
324	-16.6642
326	-16.786
328	-16.8733
330	-17.0583
332	-17.083
334	-17.2115
336	-17.3565
338	-17.2907
340	-17.3557
342	-17.5289
344	-17.6972
346	-17.6747
348	-17.8281
350	-18.0061
352	-18.1386
354	-18.0804
356	-18.288
358	-18.3969
360	-18.4631
362	-18.6147
364	-18.6465
366	-18.6837
368	-18.7625
370	-18.8447
372	-18.8478
374	-18.9711
376	-19.031
378	-19.3713
380	-19.4037
382	-19.5002
384	-19.4526
386	-19.7297
388	-19.9155
390	-19.7855
392	-20.031
394	-19.9219
396	-20.2535
398	-20.1559
400	-20.4889
402	-20.4572
404	-20.4043
406	-20.8963
408	-20.5263
410	-20.7375
412	-21.291
414	-21.5177
416	-20.5433
418	-20.7767
420	-20.6109
422	-20.9406
424	-22.3531
426	-22.4314
428	-20.7402
430	-22.1683
432	-22.49
434	-22.6955
436	-21.7794
438	-22.2594
440	-22.1333
442	-22.3023
444	-22.2234
446	-22.4059
448	-22.4156
450	-22.514
452	-22.6307
454	-22.7456
456	-22.8368
458	-23.0254
460	-23.1444
462	-23.095
464	-23.2536
466	-23.4266
468	-23.3764
470	-23.4454
472	-23.4974
474	-23.7122
476	-23.7304
478	-23.7787
480	-24.0073
482	-23.8593
484	-24.0119
486	-24.2378
488	-24.4508
490	-24.4439
492	-24.5549
494	-24.5816
496	-24.6881
498	-24.7943
500	-24.81
502	-24.8963
504	-24.9485
506	-25.1073
508	-25.0854
510	-25.2465
512	-25.3219
514	-25.3337
516	-25.471
518	-25.7423
520	-25.7394
522	-25.9208
524	-25.9087
526	-25.958
528	-25.8914
530	-26.2011
532	-26.2235
534	-26.172
536	-26.4004
538	-26.2496
540	-26.6384
542	-26.6291
544	-26.6926
546	-26.8581
548	-26.942
550	-26.9616
552	-26.9744
554	-27.114
556	-27.3043
558	-27.3841
560	-27.3094
562	-27.4485
564	-27.537
566	-27.6516
568	-27.6904
570	-27.8213
572	-27.8522
574	-27.993
576	-28.0743
578	-28.1356
580	-28.1439
582	-28.3146
584	-28.3809
586	-28.435
588	-28.5714
590	-28.7059
592	-28.682
594	-28.7916
596	-28.9719
598	-28.928
600	-29.0424
602	-29.1632
604	-29.2905
606	-29.2657
608	-29.3862
610	-29.4764
612	-29.5864
614	-29.6396
616	-29.6518
618	-29.7132
620	-29.839
622	-29.9226
624	-30.0659
626	-30.1249
628	-30.246
630	-30.2705
632	-30.2918
634	-30.4081
636	-30.4743
638	-30.6109
640	-30.6703
642	-30.7599
644	-30.8387
646	-30.894
648	-31.0159
650	-31.0533
652	-31.1651
654	-31.232
656	-31.348
658	-31.3973
660	-31.4216
662	-31.4886
664	-31.6009
666	-31.7427
668	-31.6907
670	-31.8575
672	-31.8714
674	-31.9258
676	-32.0688
678	-32.1991
680	-32.2218
682	-32.2355
684	-32.4738
686	-32.522
688	-32.4495
690	-32.5195
692	-32.6501
694	-32.6595
696	-32.742
698	-32.8499
700	-33.0301
702	-33.1195
704	-32.9536
706	-33.2755
708	-33.2685
710	-33.2503
712	-33.4072
714	-33.4619
716	-33.5465
718	-33.7504
720	-33.7258
722	-33.772
724	-33.8591
726	-33.9164
728	-33.9908
730	-34.0765
732	-34.1746
734	-34.2378
736	-34.3656
738	-34.3712
740	-34.5152
742	-34.5747
744	-34.4888
746	-34.7952
748	-34.4559
750	-34.7123
752	-34.8019
754	-34.8994
756	-35.0885
758	-35.1402
760	-35.1002
762	-35.1143
764	-35.4233
766	-35.4092
768	-35.4259
770	-35.5897
772	-35.6228
774	-35.7175
776	-35.8023
778	-35.8342
780	-35.8828
782	-36.0175
784	-36.005
786	-36.1262
788	-36.1663
790	-36.2538
792	-36.3663
794	-36.3346
796	-36.4439
798	-36.5134
800	-36.5512
802	-36.593
804	-36.7978
806	-36.8149
